Genesis 1:1	בְּרֵאשִׁית בָּרָא אֱלֹהִים אֵת הַשָּׁמַיִם וְאֵת הָאָרֶץ
Genesis 1:21	וַיִּבְרָא אֱלֹהִים אֶת־הַתַּנִּינִם הַגְּדֹלִים וְאֵת כָּל־נֶפֶשׁ הַחַיָּה הָרֹמֶשֶׂת אֲשֶׁר שָׁרְצוּ הַמַּיִם לְמִינֵהֶם וְאֵת כָּל־עוֹף כָּנָף לְמִינֵהוּ וַיַּרְא אֱלֹהִים כִּי־טוֹב
Genesis 1:27	וַיִּבְרָא אֱלֹהִים אֶת־הָאָדָם בְּצַלְמוֹ בְּצֶלֶם אֱלֹהִים בָּרָא אֹתוֹ זָכָר וּנְקֵבָה בָּרָא אֹתָם
Genesis 2:1	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ וְכָל־צְבָאָם
Genesis 2:3	וַיְבָרֶךְ אֱלֹהִים אֶת־יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ כִּי בוֹ שָׁבַת מִכָּל־מְלַאכְתּוֹ אֲשֶׁר־בָּרָא אֱלֹהִים לַעֲשׂוֹת
Genesis 6:11	וַתִּשָּׁחֵת הָאָרֶץ לִפְנֵי הָאֱלֹהִים וַתִּמָּלֵא הָאָרֶץ חָמָס
Jeremiah 26:1	בְּרֵאשִׁית מַמְלְכוּת יְהוֹיָקִים בֶּן־יֹאשִׁיָּהוּ מֶלֶךְ יְהוּדָה הָיָה הַדָּבָר הַזֶּה מֵאֵת יְהוָה לֵאמֹר
Jeremiah 27:1	בְּרֵאשִׁית מַמְלֶכֶת יְהוֹיָקִים בֶּן־יֹאשִׁיָּהוּ מֶלֶךְ יְהוּדָה הָיָה הַדָּבָר הַזֶּה אֶל־יִרְמְיָה מֵאֵת יְהוָה לֵאמֹר
Jeremiah 28:1	וַיְהִי בַּשָּׁנָה הַהִיא בְּרֵאשִׁית מַמְלֶכֶת צִדְקִיָּה מֶלֶךְ־יְהוּדָה בַּשָּׁנָה הָרְבִעִית בַּחֹדֶשׁ הַחֲמִישִׁי אָמַר אֵלַי חֲנַנְיָה בֶן־עַזּוּר הַנָּבִיא אֲשֶׁר מִגִּבְעוֹן בְּבֵית יְהוָה לְעֵינֵי הַכֹּהֲנִים וְכָל־הָעָם לֵאמֹר
Jeremiah 49:34	אֲשֶׁר הָיָה דְבַר־יְהוָה אֶל־יִרְמְיָהוּ הַנָּבִיא אֶל־עֵילָם בְּרֵאשִׁית מַלְכוּת צִדְקִיָּה מֶלֶךְ־יְהוּדָה לֵאמֹר
